2026-02-26 01:15:31,648 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447e9c0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:33,661 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447ead0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:33,678 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447ebe0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:33,695 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447ecf0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:35,708 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f020>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:35,721 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f460>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:35,736 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f570>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:37,750 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f790>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:37,764 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447fac0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:37,778 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447fbd0>: Failed to establish a new connection: [Errno 111] Connection refused'))
